노선명,자전거도로종류,기점,종점,주요경유지,방향,총연장,일반도로폭,자전거도로폭,설치연도,도로재질,,
동일로,자전거및보행자겸용도로,장평교교차로,군자교교차로,중곡빗물펌프장,양방,3,30,4,1996,고압블럭,,
광나루로56길,자전거및보행자겸용도로,테크노마트,광남중고교입구교차로,프라임아파트,양방,1,35,3.5,1996,고압블럭,,
아차산로70길,자전거및보행자겸용도로,광남중고교 입구교차로,광남중입구,한강시민공원연결로,양방,1,20,3,2007,고압블럭,,
능동로,자전거및보행자겸용도로,용곡삼거리,군자역사거리,중곡역,양방,2.8,25,4,1999,투수콘/블럭,,
능동로,자전거및보행자겸용도로,군자역사거리,어린이대공원역,세종대학교,양방,2.4,25,4,2020,투수콘/화강석,,
능동로,자전거및보행자겸용도로,어린이대공원역,건대입구역,건국대학교병원,편방,0.85,35,4,2006,점토블럭,,
능동로,자전거및보행자겸용도로,건대입구역,뚝섬유원지역,신양초교,편방,0.95,25,4,2020,점토블럭,,
광나루로,자전거및보행자겸용도로,화양사거리,어린이대공원역(5번출구),화양삼거리,편방,0.6,30,4,2015,투수콘/ 블럭,,
광나루로,자전거및보행자겸용도로,어린이대공원역,구의사거리,어린이회관,편방,1,30,3.5,2020,투수콘/ 블럭,,
광나루로,자전거및보행자겸용도로,구의사거리,광진구민방위교육센터,올림픽대교북단교차로,편방,1.4,30,3.5,1997,투수콘/ 블럭,,
아차산로,자전거및보행자겸용도로,성수사거리,자양사거리,건대입구역,양방,3.8,35,4,1997,고압블럭,,
아차산로,자전거및보행자겸용도로,자양사거리,올림픽대교북단교차로,구의역,편방,1.2,25,3.5,1998,고압블럭,,
아차산로,자전거및보행자겸용도로,올림픽대교 북단교차로,광장사거리,극동아파트,양방,1.7,25,3.5,1998,고압블럭,,
아차산로,자전거및보행자겸용도로,광장사거리,장로회신학대학교 입구,광장신동아파밀리에아파트,편방,0.39,30,3.5,1998,고압블럭,,
아차산로,자전거및보행자겸용도로,동북아스위트힐,구리시 경계,그랜드워커힐 서울,편방,0.9,22,2.5,2016,우레탄,,
자양로,자전거및보행자겸용도로,아차산역 교차로,구의사거리,구의2동,편방,0.7,30,4,1998,고압블럭,,
자양로,자전거및보행자겸용도로,구의사거리,자양사거리,광진구청,양방,1.82,30,3.5,2014,고압블럭,,
자양로,자전거및보행자겸용도로,자양사거리,잠실대교북단,혜민병원,양방,1.5,35,4,1997,고압블럭,,
천호대로,자전거및보행자겸용도로,군자교 교차로,광장사거리,아차산역,편방,2.8,50,6,1998,화강석/ 블럭,,
천호대로,자전거및보행자겸용도로,광장사거리,군자교교차로,아차산역,편방,3.1,50,6,2020,화강석/ 블럭,,
구천면로,자전거및보행자겸용도로,광장사거리,광진교북단,광진구민체육센터,편방,0.4,22,2,2007,적색투수콘,,
긴고랑로,자전거및보행자겸용도로,동곡삼거리,용마사거리,중곡1동사거리,양방,1.04,25,4.5,1998,고압블럭,,
자양번영로,자전거및보행자겸용도로,자양삼거리,신자초등학교,자양1파출소,양방,1.9,25,4,1998,투수콘/ 블럭,,
용마산로,자전거및보행자겸용도로,아차산역 삼거리,중랑구경계,중곡사거리,양방,3.68,25,4,1999,고압블럭,,
뚝섬로,자전거및보행자겸용도로,신자초교 입구교차로,잠실대교북단교차로,성자초교,양방,1.8,22,4,1999,고압블럭,,
아차산로36길,자전거및보행자겸용도로,이마트,스타시티 C동,스타시티 B동,편방,0.27,27,1.5,2007,초록색우레탄,,
능동로10길,자전거및보행자겸용도로,스타시티 C동,광진문화예술회관,스타시티 D동,편방,0.36,18,2,2007,초록색우레탄,,
강변역로,자전거및보행자겸용도로,강변역(1번출구),잠실철교 입구(연결로),강변역,편방,0.2,27,6,2007,고압블럭,,
중랑천,자전거전용도로,장평교,군자교,중랑천,편방,1.6,0,4,2007,적색투수콘,,
천호대로,자전거전용도로,광장사거리,천호대교북단,극동2차아파트,편방,0.2,50,1.5,2018,적색투수콘,,
천호대로,자전거전용차로,군자교,코오롱글로벌빌딩앞,군자교입구,편방,0.3,50,2.2,2010,아스콘,,
자양강변길,자전거우선도로,광양중학교,동일로 경계,뚝섬유원지역,편방,2.74,6,6,2016,아스콘,,
자양로13길,자전거우선도로,자양로13길(자양로93),뚝섬로 교차지점,자양1동주민센터,양방,1.1,9,9,2016,아스콘,,
뚝섬로52길,자전거우선도로,뚝섬로52길(뚝섬로630),자양유수지 체육시설,경남아파트,양방,0.8,9,9,2016,아스콘,,
